Optagelsesområder;Antal Optagne;;Antal ansøgere;; Adgangskvotient ;
;optagne;standby;total;1. prioritet; kvotient i kvote 1  ;standby
Københavns Universitet;;;;;;
Teknisk videnskab (civilingeniør) Byggeteknologi, Kongens Lyngby, Studiestart: sommerstart; 72 ; 6 ; 215 ; 87 ; 8,7 ;5,8
Teknisk videnskab (civilingeniør) Bygningsdesign, Kongens Lyngby, Studiestart: sommerstart; 63 ; 6 ; 238 ; 71 ; 7,7 ;6,7
Teknisk videnskab (civilingeniør) Design og innovation, Kongens Lyngby, Studiestart: sommerstart; 70 ; 6 ; 249 ; 98 ; 9,1 ;7,3
Teknisk videnskab (civilingeniør) Elektroteknologi, Kongens Lyngby, Studiestart: sommerstart; 72 ; 6 ; 257 ; 108 ; 8,8 ;7,9
Teknisk videnskab (civilingeniør) Fysik og nanoteknologi, Kongens Lyngby, Studiestart: sommerstart; 72 ; 6 ; 216 ; 89 ; 8,9 ;7,5
Teknisk videnskab (civilingeniør) Geofysik og Rumteknologi, Kongens Lyngby, Studiestart: sommerstart; 63 ; 6 ; 198 ; 87 ; 8,5 ;6,1
Teknisk videnskab (civilingeniør) Kemi og teknologi, Kongens Lyngby, Studiestart: sommerstart; 84 ; 6 ; 286 ; 113 ; 9,0 ;8,3
Teknisk videnskab (civilingeniør) Netværksteknologi og it, Kongens Lyngby, Studiestart: sommerstart; 40 ; 4 ; 174 ; 46 ; 6,6 ;5,9
Teknisk videnskab (civilingeniør) Matematik og teknologi, Kongens Lyngby, Studiestart: sommerstart; 72 ; 6 ; 249 ; 89 ; 9,2 ;8,3
Teknisk videnskab (civilingeniør) Medicin og teknologi, Kongens Lyngby, Studiestart: sommerstart; 63 ; 6 ; 261 ; 65 ; 9,2 ;7,9
Teknisk videnskab (civilingeniør) Vand, bioressourcer og miljømanagement, Kongens Lyngby, Studiestart: sommerstart; 60 ; 6 ; 180 ; 73 ; 7,8 ;6,2
Teknisk videnskab (civilingeniør) Produktion og konstruktion, Kongens Lyngby, Studiestart: sommerstart; 84 ; 6 ; 206 ; 97 ; 8,9 ;6,5
Teknisk videnskab (civilingeniør) Softwareteknologi, Kongens Lyngby, Studiestart: sommerstart; 72 ; 6 ; 337 ; 121 ; 9,1 ;8,1
Teknisk videnskab (civilingeniør) Teknisk biomedicin, Kongens Lyngby, Studiestart: sommerstart; 63 ; 5 ; 250 ; 49 ; 7,6 ;Alle optaget
Teknisk videnskab (civilingeniør) Strategisk analyse og systemdesign , Kongens Lyngby, Studiestart: sommerstart; 40 ; 3 ; 129 ; 67 ; 9,6 ;9
Teknisk videnskab (civilingeniør) Kvantitativ biologi og sygdomsmodellering, Kongens Lyngby, Studiestart: sommerstart; 30 ; 3 ; 128 ; 47 ; 8,3 ;7,7
Diplomingeniør, arktisk teknologi, Kongens Lyngby, Studiestart: sommerstart; 24 ; 2 ; 72 ; 30 ; 6,3 ;
Diplomingeniør, bygningsdesign, Kongens Lyngby, Studiestart: sommerstart; 72 ; 6 ; 327 ; 113 ; 8,5 ;8
Diplomingeniør, byggeri og infrastruktur, Kongens Lyngby, Studiestart: sommer- og vinterstart; 150 ; 10 ; 390 ; 158 ; 5,1 ;4,1
Diplomingeniør, eksport og teknologi, Kongens Lyngby, Studiestart: sommer- og vinterstart; 80 ; 8 ; 215 ; 86 ; 5,0 ;3,8
Diplomingeniør, elektroteknologi, Kongens Lyngby, Studiestart: sommer- og vinterstart; 80 ; 8 ; 265 ; 95 ; 7,0 ;5,1
Diplomingeniør, fødevareanalyse, Kongens Lyngby, Studiestart: sommerstart; 40 ; 4 ; 137 ; 47 ; 5,9 ;5,4
Diplomingeniør, it-elektronik, Kongens Lyngby, Studiestart: sommerstart; 48 ; 4 ; 196 ; 48 ; 6,6 ;6,2
Diplomingeniør, kemi- og bioteknik, Kongens Lyngby, Studiestart: sommer- og vinterstart; 80 ; 8 ; 265 ; 89 ; 6,2 ;4,6
Diplomingeniør, maskinteknik, Kongens Lyngby, Studiestart: sommer- og vinterstart; 120 ; 11 ; 357 ; 143 ; 6,5 ;Alle optaget
Diplomingeniør, proces og innovation, Kongens Lyngby, Studiestart: sommerstart; 50 ; 4 ; 211 ; 73 ; 8,2 ;7,3
Diplomingeniør, produktion (produktionsteknik), Kongens Lyngby, Studiestart: sommer- og vinterstart; 50 ; 4 ; 192 ; 56 ; 6,3 ;4,6
Diplomingeniør i Kemiteknik og International Business , Kongens Lyngby, Studiestart: sommerstart; 27 ; 2 ; 82 ; 24 ; 5,5 ;5,1
Diplomingeniør, it og økonomi, Kongens Lyngby, Studiestart: sommerstart; 27 ; 2 ; 183 ; 51 ; 8,5 ;7,4
Diplomingeniør, trafik og transport, Kongens Lyngby, Studiestart: sommerstart; 22 ;; 70 ; 15 ; Alle optaget, ledige pladser ;
Diplomingeniør, elektrisk energiteknologi, Kongens Lyngby, Studiestart: sommerstart; 40 ; 4 ; 153 ; 56 ; 6,3 ;3,4
Diplomingeniør, softwareteknologi, Kongens Lyngby, Studiestart: sommerstart; 88 ; 8 ; 331 ; 126 ; 7,4 ;5,7
Diplomingeniør, sundhedsteknologi, Kongens Lyngby, Studiestart: sommerstart; 40 ; 4 ; 138 ; 32 ; 5,6 ;3,7
Bachelor of Science (BSc) in Engineering (General Engineering), Kongens Lyngby, Study start: Summer start; 50 ; 5 ; 382 ; 174 ; 10,8 ;9,8
Danmarks Tekniske Universitet i alt; 2.177 ; 187 ; 7.800 ; 2.815 ;;
Roskilde Universitet;;;;;;
Naturvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 135 ;; 325 ; 98 ; Alle optaget, ledige pladser ;
Naturvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 2 ;; 15 ; 1 ; Alle optaget ;
Naturvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 29 ;; 154 ; 70 ; Alle optaget, ledige pladser ;
Humanistisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 535 ; 27 ; 1.728 ; 638 ; 7,2 ;6,8
Humanistisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 65 ; 3 ; 413 ; 145 ; 9,3 ;9,2
Humanistisk international bacheloruddannelse, Roskilde, Study start: Summer start; 100 ; 5 ; 494 ; 146 ; 6,0 ;5,4
Samfundsvidenskabelig bacheloruddannelse, Roskilde, Studiestart: sommerstart; 445 ; 22 ; 1.275 ; 425 ; 6,7 ;5,9
Samfundsvidenskabelig bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 50 ; 3 ; 276 ; 61 ; 9,6 ;9,4
Samfundsvidenskabelig international bacheloruddannelse, Roskilde, Study start: Summer start; 139 ; 7 ; 561 ; 149 ; 5,8 ;5,0
Humanistisk-teknologisk bacheloruddannelse, Roskilde, Studiestart: sommerstart; 191 ;; 394 ; 148 ; Alle optaget, ledige pladser ;
Humanistisk-teknologisk bacheloruddannelse + journalistik + andet fag, Roskilde, Studiestart: sommerstart; 20 ; 1 ; 66 ; 12 ; 5,4 ;3,6
Roskilde Universitet i alt; 1.711 ; 68 ; 5.701 ; 1.893 ;;
Syddansk Universitet;;;;;;
Biologi, Odense M, Studiestart: sommerstart; 80 ;; 267 ; 88 ; 6,4 ;
Biomedicin, Odense M, Studiestart: sommerstart; 125 ;; 537 ; 131 ; 8,0 ;
Datalogi, Odense M, Studiestart: sommerstart; 82 ;; 209 ; 65 ; Alle optaget, ledige pladser ;
Farmaci, Odense M, Studiestart: sommerstart; 100 ;; 446 ; 107 ; 7,1 ;
Idræt og sundhed, Odense M, Studiestart: sommerstart; 150 ; 21 ; 495 ; 181 ; 7,9 ;5,5
Matematik-økonomi, Odense M, Studiestart: sommerstart; 38 ;; 119 ; 25 ; Alle optaget, ledige pladser ;
Matematik og anvendt matematik, Odense M, Studiestart: sommerstart; 57 ;; 137 ; 51 ; Alle optaget, ledige pladser ;
Fysik (SDU), Odense M, Studiestart: sommerstart; 35 ;; 72 ; 32 ; Alle optaget, ledige pladser ;
Biokemi og molekylær biologi, Odense M, Studiestart: sommerstart; 55 ;; 254 ; 38 ; 4,9 ;
Kemi (SDU), Odense M, Studiestart: sommerstart; 35 ;; 111 ; 27 ; Alle optaget, ledige pladser ;
Klinisk biomekanik, Odense M, Studiestart: sommer- og vinterstart; 94 ; 5 ; 289 ; 120 ; 9,9 ;9,6
Medicin, Odense M, Studiestart: sommer- og vinterstart; 330 ; 14 ; 2.637 ; 722 ; 10,7 ;10,6
Folkesundhedsvidenskab, Odense M, Studiestart: sommerstart; 55 ;; 180 ; 35 ; Alle optaget, ledige pladser ;
Psykologi, Odense M, Studiestart: sommerstart; 110 ; 5 ; 1.422 ; 434 ; 11,0 ;10,8
Dansk, Odense M, Studiestart: sommerstart; 89 ;; 253 ; 68 ; Alle optaget ;
Engelsk, Odense M, Studiestart: sommerstart; 117 ;; 371 ; 107 ; 4,3 ;
Amerikanske Studier, Odense M, Studiestart: sommerstart; 91 ;; 273 ; 88 ; 4,5 ;
Filosofi, Odense M, Studiestart: sommerstart; 55 ;; 221 ; 47 ; 5,4 ;
Oldtidskundskab, Odense M, Studiestart: sommerstart; 32 ;; 85 ; 33 ; Alle optaget, ledige pladser ;
Historie, Odense M, Studiestart: sommerstart; 117 ;; 403 ; 113 ; 4,9 ;
Interkulturel pædagogik og dansk som andetsprog, Odense M, Studiestart: sommerstart; 44 ;; 147 ; 42 ; 4,0 ;
Litteraturvidenskab, Odense M, Studiestart: sommerstart; 73 ;; 179 ; 57 ; Alle optaget, ledige pladser ;
Audiologi, Odense M, Studiestart: sommerstart; 21 ;; 92 ; 27 ; 5,9 ;
Pædagogisk audiologi, Odense M, Studiestart: sommerstart; 21 ;; 96 ; 20 ; 6,4 ;
Logopædi, Odense M, Studiestart: sommerstart; 42 ;; 186 ; 89 ; 8,1 ;
Medievidenskab, Odense M, Studiestart: sommerstart; 140 ;; 431 ; 130 ; 7,1 ;
Religionsstudier, Odense M, Studiestart: sommerstart; 48 ;; 172 ; 31 ; Alle optaget, ledige pladser ;
Spanske og spanskamerikanske studier, Odense M, Studiestart: sommerstart; 23 ;; 69 ; 16 ; Alle optaget, ledige pladser ;
Tysk, Odense M, Studiestart: sommerstart; 13 ;; 38 ; 14 ; Alle optaget, ledige pladser ;
International virksomhedskommunikation i 2 fremmedsprog (SDU), Odense M, Studiestart: sommerstart; 43 ;; 119 ; 35 ; Alle optaget, ledige pladser ;
International virksomhedskommunikation i engelsk, Odense M, Studiestart: sommerstart; 85 ;; 378 ; 106 ; 6,1 ;
International virksomhedskommunikation i spansk, Odense M, Studiestart: sommerstart; 24 ;; 65 ; 16 ; Alle optaget, ledige pladser ;
International virksomhedskommunikation i tysk, Odense M, Studiestart: sommerstart; 20 ;; 57 ; 17 ; Alle optaget, ledige pladser ;
Jura, Odense M, Studiestart: sommerstart; 150 ; 20 ; 1.154 ; 323 ; 9,7 ;9,3
Samfundsfag, Odense M, Studiestart: sommerstart; 30 ;; 193 ; 33 ; 8,3 ;
Statskundskab, Odense M, Studiestart: sommerstart; 106 ;; 425 ; 101 ; 8,4 ;
Økonomi, Odense M, Studiestart: sommerstart; 78 ;; 201 ; 65 ; Alle optaget, ledige pladser ;
Market and Management Anthropology, Odense M, Study start: Summer start; 83 ;; 243 ; 66 ; Alle optaget, ledige pladser ;
Erhvervsøkonomi, HA , Odense M, Studiestart: sommerstart; 232 ;; 793 ; 281 ; 6,9 ;
Economics and Business Administration, Odense M, Study start: Summer start; 97 ;; 406 ; 106 ; 5,3 ;
Erhvervsøkonomi-jura, HA (jur.), Odense M, Studiestart: sommerstart; 60 ; 6 ; 400 ; 66 ; 8,3 ;8,1
Erhvervsøkonomi-erhvervssprog (negot) (SDU - Odense), Odense M, Studiestart: sommerstart; 128 ;; 245 ; 117 ; Alle optaget, ledige pladser ;
Journalistik, Odense M, Studiestart: sommerstart; 102 ;; 525 ; 165 ; 100 % kvote 2 ;
Diplomingeniør, bygningsteknik, Odense M, Studiestart: sommerstart; 88 ;; 176 ; 85 ; Alle optaget, ledige pladser ;
Diplomingeniør, elektronik og datateknik, Odense M, Studiestart: sommerstart; 24 ;; 80 ; 27 ; Alle optaget, ledige pladser ;
Bachelor of Engineering in Global Management and Manufacturing, Odense M, Study start: Summer start; 74 ; 1 ; 183 ; 84 ; 4,2 ;Alle optaget
Diplomingeniør, kemi- og bioteknologi, Odense M, Studiestart: sommerstart; 49 ;; 140 ; 46 ; Alle optaget, ledige pladser ;
Diplomingeniør, informations- og kommunikationsteknologi, Odense M, Studiestart: sommerstart; 23 ;; 73 ; 21 ; Alle optaget, ledige pladser ;
Diplomingeniør, integreret design, Odense M, Studiestart: sommerstart; 57 ;; 141 ; 56 ; Alle optaget, ledige pladser ;
Diplomingeniør, maskinteknik, Odense M, Studiestart: sommerstart; 63 ;; 135 ; 64 ; Alle optaget, ledige pladser ;
Diplomingeniør, produktion (produktionsteknik), Odense M, Studiestart: sommerstart; 49 ;; 99 ; 41 ; Alle optaget, ledige pladser ;
Diplomingeniør, elektrisk energiteknologi, Odense M, Studiestart: sommerstart; 27 ;; 60 ; 27 ; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Velfærdsteknologi, Odense M, Studiestart: sommerstart; 41 ;; 103 ; 35 ; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Lærings- og oplevelsesteknologi, Odense M, Studiestart: sommerstart; 38 ;; 68 ; 35 ; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) robotteknologi, Odense M, Studiestart: sommerstart; 90 ;; 223 ; 105 ; 6,4 ;
Teknisk videnskab (civilingeniør) Fysik og teknologi, Odense M, Studiestart: sommerstart; 14 ;; 55 ; 16 ; Alle optaget, ledige pladser ;
Teknisk videnskab (civilingeniør) Kemi og bioteknologi, Odense M, Studiestart: sommerstart; 46 ;; 138 ; 35 ; Alle optaget, ledige pladser ;
Bachelor of Science (BSc) in Engineering (Product Development and Innovation), Odense M, Study start: Summer start; 50 ;; 170 ; 58 ; Alle optaget, ledige pladser ;
Teknisk Videnskab (Civilingeniør) Software Engineering, Odense M, Studiestart: sommerstart; 110 ;; 253 ; 122 ; 4,6 ;
Teknisk videnskab (civilingeniør) Energiteknologi, Odense M, Studiestart: sommerstart; 28 ;; 68 ; 25 ; Alle optaget, ledige pladser ;
Bibliotekskundskab og videnskommunikation, Kolding, Studiestart: sommerstart; 34 ;; 65 ; 34 ; Alle optaget, ledige pladser ;
Informationsvidenskab, it og interaktionsdesign, Kolding, Studiestart: sommerstart; 26 ;; 74 ; 22 ; 4,4 ;
Designkultur og økonomi, Kolding, Studiestart: sommerstart; 113 ;; 227 ; 109 ; 4,5 ;
Designkultur, Kolding, Studiestart: sommerstart; 40 ;; 179 ; 37 ; 5,1 ;
International virksomhedskommunikation i engelsk, Kolding, Studiestart: sommerstart; 30 ;; 110 ; 23 ; Alle optaget, ledige pladser ;
