Optagelsesområder;Antal Optagne;;Antal ansøgere;; Adgangskvotient ;
;optagne;standby;total;1. prioritet; kvotient i kvote 1  ;standby
Københavns Universitet;;;;;;
AP Graduate in Automation Engineering, Aalborg SV, Study start: Summer start; 14 ;; 51 ; 18 ; Alle optaget, ledige pladser ;
Datamatiker, Aalborg SV, Studiestart: sommerstart; 64 ; 4 ; 164 ; 88 ; 4,9 ;Alle optaget, ledige pladser
Datamatiker, Aalborg SV, Studiestart: vinterstart; 8 ;; 33 ; 4 ; Alle optaget, ledige pladser ;
AP Graduate in Computer Science, Aalborg SV, Study start: Summer start; 53 ; 3 ; 262 ; 94 ; 4,6 ;Alle optaget
Designteknolog, Aalborg SV, Studiestart: sommerstart; 60 ; 6 ; 161 ; 86 ; 100 % kvote 2 ;
AP Graduate in Design, Technology and Business, Aalborg SV, Study start: Summer start; 31 ; 4 ; 155 ; 67 ; 100 % kvote 2 ;
AP Graduate in Energy Technology, Aalborg SV, Study start: Summer start; 14 ;; 51 ; 18 ; Alle optaget, ledige pladser ;
Energiteknolog, Aalborg SV, Studiestart: sommerstart; 20 ;; 33 ; 22 ; Alle optaget, ledige pladser ;
Finansøkonom, Aalborg, Studiestart: sommerstart; 130 ; 11 ; 475 ; 175 ; 5,0 ;Alle optaget, ledige pladser
AP Graduate in Financial Management, Aalborg, Study start: Summer start; 33 ;; 137 ; 30 ; Alle optaget, ledige pladser ;
Finansøkonom, Thisted, Studiestart: sommerstart; 12 ;; 29 ; 17 ; Alle optaget, ledige pladser ;
Financial controller, Aalborg, Studiestart: sommerstart; 26 ;; 88 ; 34 ; Alle optaget, ledige pladser ;
Installatør, stærkstrøm, Aalborg SV, Studiestart: vinterstart; 2 ;; 3 ; 2 ; 100 % kvote 2 ;
Installatør, VVS, Aalborg SV, Studiestart: vinterstart;;; 2 ;; Ikke oprettet ;
It- teknolog, Aalborg SV, Studiestart: sommerstart; 28 ; 1 ; 63 ; 31 ; 3,5 ;Alle optaget, ledige pladser
AP Graduate IT Technology, Aalborg SV, Study start: Summer start; 15 ; 2 ; 88 ; 24 ; 4,5 ;3,9
Laborant, Aalborg SV, Studiestart: sommerstart;;; 85 ; 8 ; Ikke oprettet ;
Markedsføringsøkonom, Aalborg, Studiestart: sommerstart; 120 ; 7 ; 335 ; 146 ; 4,8 ;Alle optaget, ledige pladser
AP Graduate in Marketing Management, Aalborg, Study start: Summer start; 38 ;; 244 ; 50 ; Alle optaget, ledige pladser ;
Markedsføringsøkonom, Thisted, Studiestart: sommerstart; 11 ;; 26 ; 16 ; Alle optaget, ledige pladser ;
Multimediedesigner, Aalborg SV, Studiestart: sommerstart; 64 ; 7 ; 204 ; 76 ; 5,0 ;2,9
AP Graduate in Multimedia Design and Communication, Aalborg SV, Study start: Summer start; 31 ; 3 ; 243 ; 71 ; 9,3 ;6,6
Produktionsteknolog, Aalborg SV, Studiestart: sommer- og vinterstart; 26 ;; 43 ; 28 ; Alle optaget, ledige pladser ;
Serviceøkonom, Aalborg, Studiestart: sommerstart; 140 ; 6 ; 260 ; 159 ; 4,0 ;Alle optaget, ledige pladser
AP Graduate in Service, Hospitality and Tourism Management, Aalborg, Study start: Summer start; 120 ; 1 ; 367 ; 169 ; 6,0 ;Alle optaget, ledige pladser
Professionshøjskolen University College Nordjylland i alt; 2.908 ; 250 ; 10.390 ; 4.139 ;;
Danmarks Medie- og Journalisthøjskole;;;;;;
Professionsbachelor i visuel kommunikation, København NV, Studiestart: sommerstart; 92 ; 6 ; 864 ; 487 ; 100 % kvote 2 ;
Professionsbachelor, journalist, Aarhus N, Studiestart: sommer- og vinterstart; 241 ; 22 ; 1.339 ; 773 ; 100 % kvote 2 ;
Professionsbachelor, fotojournalist, Aarhus N, Studiestart: sommer- og vinterstart; 16 ; 2 ; 177 ; 96 ; 100 % kvote 2 ;
Professionsbachelor i kommunikation, København NV, Studiestart: vinterstart; 53 ; 16 ; 296 ; 141 ; 11,1 ;10,3
Professionsbachelor i kommunikation, Aarhus N, Studiestart: sommerstart; 52 ; 12 ; 221 ; 80 ; 10,7 ;10,3
Professionsbachelor i medieproduktion og ledelse, København NV, Studiestart: sommerstart; 50 ; 4 ; 327 ; 129 ; 100 % kvote 2 ;
Professionsbachelor i tv- og medietilrettelæggelse, København NV, Studiestart: sommerstart; 42 ; 1 ; 454 ; 246 ; 100 % kvote 2 ;
Danmarks Medie- og Journalisthøjskole i alt; 546 ; 63 ; 3.678 ; 1.952 ;;
Den Frie Lærerskole;;;;;;
Lærer til de frie skoler, Vester Skerninge, Studiestart: sommerstart; 69 ;; 133 ; 93 ; 100 % kvote 2 ;
Den Frie Lærerskole i alt; 69 ;; 133 ; 93 ;;
Maskinmesterskolen København;;;;;;
Professionsbachelor, maskinmester, Kongens Lyngby, Studiestart: sommerstart; 124 ; 4 ; 238 ; 167 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Kongens Lyngby, Studiestart: vinterstart; 6 ;; 37 ; 16 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Rønne, Studiestart: sommerstart; 11 ;; 17 ; 6 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Rønne, Studiestart: vinterstart;;; 5 ; 1 ; Uden for kvotesystemet ;
Maskinmesterskolen København i alt; 141 ; 4 ; 297 ; 190 ;;
Svendborg International Maritime Academy, SIMAC;;;;;;
Professionsbachelor, maskinmester, Svendborg, Studiestart: sommerstart; 118 ;; 169 ; 119 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Svendborg, Studiestart: vinterstart; 8 ;; 28 ; 10 ; Uden for kvotesystemet ;
Professionsbachelor, skibsofficer, Svendborg, Studiestart: sommerstart; 15 ;; 25 ; 18 ; Uden for kvotesystemet ;
Professionsbachelor, skibsfører, Svendborg, Studiestart: sommerstart; 19 ;; 26 ; 21 ; Uden for kvotesystemet ;
Svendborg International Maritime Academy, SIMAC i alt; 160 ;; 248 ; 168 ;;
Fredericia Maskinmesterskole;;;;;;
Professionsbachelor, maskinmester, Esbjerg, Studiestart: sommer- og vinterstart; 47 ;; 81 ; 52 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Fredericia, Studiestart: sommer- og vinterstart; 66 ;; 117 ; 73 ; Uden for kvotesystemet ;
Fredericia Maskinmesterskole i alt; 113 ;; 198 ; 125 ;;
Aarhus Maskinmesterskole;;;;;;
Professionsbachelor, maskinmester, Aarhus C, Studiestart: sommerstart; 160 ; 11 ; 269 ; 188 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Aarhus C, Studiestart: vinterstart; 87 ;; 121 ; 92 ; Uden for kvotesystemet ;
Professionsbachelor, maskinmester, Aarhus C, E-læring, Studiestart: vinterstart; 17 ;; 40 ; 24 ; Uden for kvotesystemet ;
Aarhus Maskinmesterskole i alt; 264 ; 11 ; 430 ; 304 ;;
MARTEC;;;;;;
Professionsbachelor, maskinmester, Frederikshavn, Studiestart: sommerstart; 98 ;; 123 ; 98 ; Uden for kvotesystemet ;
MARTEC i alt; 98 ;; 123 ; 98 ;;
Erhvervsakademiet Copenhagen Business Academy;;;;;;
Professionsbachelor i finans, København K, Studiestart: sommerstart; 240 ; 24 ; 822 ; 335 ; 6,8 ;5,8
Datamatiker, Kongens Lyngby, Studiestart: sommer- og vinterstart; 64 ; 8 ; 319 ; 107 ; 6,3 ;5,1
AP Graduate in Computer Science, Kongens Lyngby, Study start: Summer start; 35 ; 8 ; 208 ; 50 ; 11,8 ;3,5
Finansøkonom, København K, Studiestart: sommer- og vinterstart; 378 ; 30 ; 1.263 ; 479 ; 6,2 ;5,2
Finansøkonom, Rønne, Studiestart: sommerstart; 17 ;; 23 ; 16 ; Alle optaget, ledige pladser ;
Financial controller, Kongens Lyngby, Studiestart: sommerstart; 88 ; 11 ; 261 ; 94 ; 5,7 ;3,3
Handelsøkonom, København K, Studiestart: sommerstart; 80 ; 12 ; 695 ; 250 ; 7,6 ;6,5
Miljøteknolog, Hillerød, Studiestart: sommerstart; 30 ; 2 ; 69 ; 31 ; 4,2 ;Alle optaget
Laborant, Hillerød, Studiestart: sommer- og vinterstart; 32 ; 5 ; 189 ; 68 ; 8,0 ;6,0
Markedsføringsøkonom, København K, Studiestart: sommer- og vinterstart; 360 ; 28 ; 1.066 ; 339 ; 6,1 ;4,0
AP Graduate in Marketing Management, København K, Study start: Summer start and winter start; 105 ; 21 ; 437 ; 139 ; 7,9 ;Alle optaget
Markedsføringsøkonom, Kongens Lyngby, Studiestart: sommerstart; 44 ; 8 ; 431 ; 73 ; 6,1 ;5,5
AP Graduate in Marketing Management, Kongens Lyngby, Study start: Summer start; 51 ;; 200 ; 34 ; 3,0 ;Alle optaget
Multimediedesigner, Kongens Lyngby, Studiestart: sommerstart; 64 ; 10 ; 340 ; 80 ; 6,9 ;5,6
AP Graduate in Multimedia Design and Communication, Kongens Lyngby, Study start: Summer start; 36 ; 6 ; 220 ; 52 ; 11,6 ;6,1
Serviceøkonom, København N, Studiestart: sommer- og vinterstart; 288 ;; 645 ; 233 ; Alle optaget ;
AP Graduate in Service, Hospitality and Tourism Management, København N, Study start: Summer start and winter start; 135 ;; 344 ; 132 ; Alle optaget ;
Serviceøkonom, Kongens Lyngby, Studiestart: sommerstart; 44 ; 1 ; 223 ; 43 ; 4,1 ;Alle optaget
AP Graduate in Service, Hospitality and Tourism Management, Kongens Lyngby, Study start: Summer start; 40 ;; 179 ; 38 ; Alle optaget ;
Serviceøkonom, Rønne, Studiestart: sommerstart; 13 ;; 19 ; 14 ; Alle optaget, ledige pladser ;
Logistikøkonom , København K, Studiestart: sommerstart; 70 ; 10 ; 284 ; 92 ; 5,3 ;4,2
Erhvervsakademiet Copenhagen Business Academy i alt; 2.214 ; 184 ; 8.237 ; 2.699 ;;
Københavns Erhvervsakademi (KEA);;;;;;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, København N, Studiestart: sommerstart; 180 ; 6 ; 476 ; 266 ; 6,8 ;6,5
Bachelor of Architectural Technology and Construction Management, København N, Study start: Summer start; 80 ; 11 ; 245 ; 118 ; 7,7 ;Alle optaget
Professionsbachelor i optometri, København N, Studiestart: sommerstart; 97 ;; 232 ; 98 ; Alle optaget, ledige pladser ;
Professionsbachelor i økonomi og It, København NV, Studiestart: sommerstart; 60 ; 5 ; 279 ; 85 ; 6,5 ;5,8
Bachelor of Economics and Information Technology, København NV, Study start: Summer start; 60 ; 10 ; 340 ; 97 ; 6,8 ;5,5
Bachelor in Jewellery, Technology and Business, København N, Study start: Summer start; 41 ; 5 ; 334 ; 174 ; 100 % kvote 2 ;
Automationsteknolog, København Ø, Studiestart: sommerstart; 37 ;; 63 ; 34 ; Alle optaget, ledige pladser ;
Datamatiker, København NV, Studiestart: sommerstart; 102 ; 15 ; 371 ; 113 ; 5,8 ;4,5
AP Graduate in Computer Science, København NV, Study start: Summer start; 70 ; 10 ; 338 ; 134 ; 7,5 ;5,1
Byggekoordinator, København N, Studiestart: sommerstart; 39 ;; 78 ; 23 ; Alle optaget, ledige pladser ;
Designteknolog, København N, Studiestart: sommerstart; 156 ; 29 ; 810 ; 416 ; 100 % kvote 2 ;
AP Graduate in Design, Technology and Business, København N, Study start: Summer start; 68 ; 16 ; 464 ; 191 ; 100 % kvote 2 ;
Energiteknolog, København Ø, Studiestart: sommerstart; 33 ;; 58 ; 31 ; Alle optaget, ledige pladser ;
E-designer, København N, Studiestart: sommerstart; 87 ; 10 ; 335 ; 116 ; 100 % kvote 2 ;
Installatør, stærkstrøm, København Ø, Studiestart: sommerstart; 22 ;; 31 ; 22 ; Alle optaget, ledige pladser ;
Installatør, VVS, København Ø, Studiestart: sommerstart; 21 ;; 28 ; 21 ; Alle optaget, ledige pladser ;
It- teknolog, København NV, Studiestart: sommerstart; 45 ; 3 ; 111 ; 39 ; 4,4 ;Alle optaget, ledige pladser
AP Graduate IT Technology, København NV, Study start: Summer start; 42 ; 5 ; 177 ; 45 ; 5,1 ;Alle optaget, ledige pladser
Multimediedesigner, København NV, Studiestart: sommerstart; 126 ; 20 ; 624 ; 210 ; 8,2 ;6,9
AP Graduate in Multimedia Design and Communication, København NV, Study start: Summer start; 70 ; 10 ; 542 ; 187 ; 9,5 ;7,7
Produktionsteknolog, København N, Studiestart: sommerstart; 54 ;; 122 ; 49 ; Alle optaget, ledige pladser ;
AP Graduate in Production Technology, København N, Study start: Summer start; 31 ;; 92 ; 31 ; Alle optaget, ledige pladser ;
Københavns Erhvervsakademi (KEA) i alt; 1.521 ; 155 ; 6.150 ; 2.500 ;;
Erhvervsakademi Sjælland;;;;;;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Næstved, Studiestart: sommer- og vinterstart; 88 ;; 172 ; 83 ; Alle optaget ;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Næstved, E-læring, Studiestart: sommer- og vinterstart; 51 ;; 89 ; 55 ; Alle optaget ;
Professionsbachelor som have- og parkingeniør, Roskilde, Studiestart: sommerstart; 40 ; 1 ; 86 ; 42 ; 4,0 ;Alle optaget
Administrationsøkonom, Køge, Studiestart: sommerstart; 35 ;; 150 ; 31 ; Alle optaget, ledige pladser ;
Autoteknolog, Næstved, Studiestart: sommerstart; 19 ;; 31 ; 15 ; Alle optaget, ledige pladser ;
Datamatiker, Roskilde, Studiestart: sommerstart; 64 ; 6 ; 251 ; 85 ; 5,0 ;4,0
Datamatiker, Roskilde, Studiestart: vinterstart; 34 ; 1 ; 95 ; 18 ; 2,6 ;Alle optaget
AP Graduate in Computer Science, Roskilde, Study start: Summer start; 24 ; 1 ; 314 ; 72 ; 9,5 ;Alle optaget
Datamatiker, Næstved, Studiestart: sommerstart; 22 ; 3 ; 86 ; 32 ; 5,0 ;Alle optaget
Finansøkonom, Næstved, Studiestart: sommerstart; 112 ; 11 ; 378 ; 139 ; 4,9 ;4,3
Handelsøkonom, Næstved, Studiestart: sommerstart; 61 ; 5 ; 164 ; 52 ; 4,6 ;Alle optaget
AP Graduate in Commerce Management, Næstved, Study start: Summer start; 19 ;; 139 ; 36 ; Alle optaget, ledige pladser ;
AP Graduate in Commerce Management, Næstved, Study start: Winter start; 3 ;; 32 ; 8 ; Alle optaget, ledige pladser ;
Installatør, VVS, Slagelse, Studiestart: sommerstart; 7 ;; 10 ; 9 ; Alle optaget, ledige pladser ;
Installatør, stærkstrøm, Næstved, Studiestart: sommerstart; 7 ;; 12 ; 10 ; Alle optaget, ledige pladser ;
Jordbrugsteknolog, Slagelse, Studiestart: sommerstart; 36 ;; 70 ; 44 ; Alle optaget, ledige pladser ;
Laborant, Roskilde, Studiestart: sommerstart; 25 ; 4 ; 259 ; 48 ; 7,9 ;6,6
Laborant, Roskilde, Studiestart: vinterstart; 19 ; 3 ; 175 ; 23 ; 5,6 ;4,9
Laborant, Slagelse, Studiestart: sommerstart; 23 ; 3 ; 130 ; 35 ; 7,8 ;5,1
Laborant, Slagelse, Studiestart: vinterstart; 20 ; 2 ; 90 ; 13 ; 4,4 ;4,3
Markedsføringsøkonom, Roskilde, Studiestart: sommerstart; 104 ; 11 ; 370 ; 75 ; 4,5 ;2,7
Markedsføringsøkonom, Roskilde, Studiestart: vinterstart; 37 ;; 135 ; 21 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Roskilde, Study start: Summer start; 56 ;; 299 ; 77 ; Alle optaget ;
AP Graduate in Marketing Management, Roskilde, Study start: Winter start; 7 ;; 68 ; 11 ; Alle optaget, ledige pladser ;
Markedsføringsøkonom, Nykøbing F, Studiestart: sommerstart; 21 ;; 50 ; 14 ; Alle optaget, ledige pladser ;
Multimediedesigner, Slagelse, Studiestart: sommerstart; 46 ; 2 ; 132 ; 44 ; 4,0 ;Alle optaget
Multimediedesigner, Køge, Studiestart: sommerstart; 82 ;; 193 ; 51 ; Alle optaget, ledige pladser ;
AP Graduate in Multimedia Design and Communication, Køge, Study start: Summer start; 26 ; 3 ; 276 ; 79 ; 11,2 ;Alle optaget
Multimediedesigner, Nykøbing F, Studiestart: sommerstart; 15 ;; 40 ; 14 ; Alle optaget, ledige pladser ;
Procesteknolog (ernærings-, fiskeri-, fødevare-, mejeri- og procesteknologi), Roskilde, Studiestart: sommerstart; 37 ; 4 ; 124 ; 55 ; 6,4 ;4,7
Procesteknolog (ernærings-, fiskeri-, fødevare-, mejeri- og procesteknologi), Roskilde, Studiestart: vinterstart; 24 ;; 69 ; 19 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Slagelse, Studiestart: sommerstart; 20 ;; 31 ; 18 ; Alle optaget, ledige pladser ;
Serviceøkonom, Slagelse, Studiestart: sommerstart; 37 ;; 94 ; 23 ; Alle optaget, ledige pladser ;
AP Graduate in Service, Hospitality and Tourism Management, Slagelse, Study start: Summer start; 19 ;; 156 ; 29 ; Alle optaget, ledige pladser ;
AP Graduate in Service, Hospitality and Tourism Management, Køge, Study start: Summer start; 30 ;; 296 ; 83 ; 11,3 ;Alle optaget
AP Graduate in Service, Hospitality and Tourism Management, Køge, Study start: Winter start; 5 ;; 41 ; 11 ; Alle optaget, ledige pladser ;
Serviceøkonom, Køge, Studiestart: sommerstart; 13 ;; 78 ; 11 ; Alle optaget, ledige pladser ;
Logistikøkonom , Køge, Studiestart: sommerstart; 21 ;; 74 ; 13 ; Alle optaget, ledige pladser ;
AP Graduate in Logistic Management, Køge, Study start: Summer start; 32 ;; 150 ; 50 ; 4,2 ;Alle optaget
Erhvervsakademi Sjælland i alt; 1.341 ; 60 ; 5.409 ; 1.548 ;;
Erhvervsakademiet Lillebælt;;;;;;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Odense C, Studiestart: sommerstart; 102 ;; 198 ; 113 ; Alle optaget, ledige pladser ;
Bachelor of Architectural Technology and Construction Management, Odense C, Study start: Summer start; 30 ;; 134 ; 38 ; Alle optaget ;
Professionsbachelor i finans, Odense C, Studiestart: sommerstart; 108 ;; 233 ; 93 ; Alle optaget, ledige pladser ;
Professionsbachelor i økonomi og It, Vejle, Studiestart: sommerstart;;; 13 ; 3 ; Ikke oprettet ;
Automationsteknolog, Odense C, Studiestart: sommerstart; 49 ;; 79 ; 53 ; Alle optaget ;
Autoteknolog, Odense C, Studiestart: sommerstart; 15 ;; 29 ; 19 ; Alle optaget, ledige pladser ;
Datamatiker, Odense C, Studiestart: sommerstart; 66 ; 5 ; 190 ; 82 ; 4,9 ;2,8
AP Graduate in Computer Science, Odense C, Study start: Summer start; 40 ;; 269 ; 56 ; Alle optaget ;
Datamatiker, Vejle, Studiestart: sommerstart; 35 ;; 84 ; 32 ; Alle optaget,  ;
Byggekoordinator, Odense C, Studiestart: sommerstart; 20 ;; 45 ; 16 ; Alle optaget, ledige pladser ;
Energiteknolog, Odense C, Studiestart: sommerstart; 9 ;; 32 ; 13 ; Alle optaget, ledige pladser ;
Energiteknolog, Vejle, Studiestart: sommerstart;;; 14 ; 5 ; Ikke oprettet ;
Finansøkonom, Odense C, Studiestart: sommerstart; 111 ; 1 ; 334 ; 110 ; 3,2 ;Alle optaget
Financial controller, Odense C, Studiestart: sommerstart; 40 ;; 118 ; 39 ; Alle optaget ;
Handelsøkonom, Odense C, Studiestart: sommerstart; 38 ; 2 ; 204 ; 71 ; 6,2 ;5,8
Handelsøkonom, Vejle, Studiestart: sommerstart; 44 ; 2 ; 126 ; 58 ; 4,6 ;3,9
Installatør, stærkstrøm, Odense C, Studiestart: sommerstart; 10 ;; 26 ; 18 ; Alle optaget, ledige pladser ;
Installatør, VVS, Odense C, Studiestart: sommerstart; 14 ;; 22 ; 21 ; Alle optaget, ledige pladser ;
Installatør, stærkstrøm, Vejle, Studiestart: sommerstart; 7 ;; 17 ; 14 ; Alle optaget, ledige pladser ;
AP Graduate IT Technology, Odense C, Study start: Summer start; 31 ;; 146 ; 37 ; Alle optaget ;
It- teknolog, Odense C, Studiestart: sommerstart; 23 ; 3 ; 86 ; 28 ; Alle optaget, ledige pladser ;
Jordbrugsteknolog, Odense S, Studiestart: sommerstart; 38 ;; 75 ; 45 ; Alle optaget, ledige pladser ;
Laborant, Odense S, Studiestart: sommerstart; 35 ; 5 ; 161 ; 38 ; 7,1 ;4,4
Markedsføringsøkonom, Odense C, Studiestart: sommerstart; 125 ; 2 ; 316 ; 125 ; 3,9 ;Alle optaget
AP Graduate in Marketing Management, Odense C, Study start: Summer start; 64 ;; 331 ; 83 ; Alle optaget ;
Multimediedesigner, Odense M, Studiestart: sommerstart; 121 ;; 248 ; 99 ; Alle optaget, ledige pladser ;
AP Graduate in Multimedia Design and Communication, Odense M, Study start: Summer start; 37 ;; 319 ; 76 ; Alle optaget ;
Procesteknolog (ernærings-, fiskeri-, fødevare-, mejeri- og procesteknologi), Odense S, Studiestart: sommerstart; 36 ;; 74 ; 29 ; Alle optaget, ledige pladser ;
Procesteknolog (ernærings-, fiskeri-, fødevare-, mejeri- og procesteknologi), Vejle, Studiestart: sommerstart; 34 ;; 73 ; 37 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Odense C, Studiestart: sommerstart; 29 ;; 56 ; 35 ; Alle optaget, ledige pladser ;
Serviceøkonom, Odense C, Studiestart: sommerstart; 81 ;; 195 ; 71 ; Alle optaget, ledige pladser ;
AP Graduate in Service, Hospitality and Tourism Management, Odense C, Study start: Summer start; 72 ;; 329 ; 131 ; Alle optaget, ledige pladser ;
Serviceøkonom, Vejle, Studiestart: sommerstart; 42 ;; 115 ; 43 ; Alle optaget, ledige pladser ;
AP Graduate in Service, Hospitality and Tourism Management, Vejle, Study start: Summer start; 36 ;; 156 ; 37 ; Alle optaget, ledige pladser ;
Logistikøkonom , Vejle, Studiestart: sommerstart; 26 ;; 66 ; 23 ; Alle optaget, ledige pladser ;
AP Graduate in Logistic Management, Vejle, Study start: Summer start; 17 ;; 102 ; 39 ; Alle optaget, ledige pladser ;
Erhvervsakademiet Lillebælt i alt; 1.585 ; 20 ; 5.015 ; 1.830 ;;
Erhvervsakademi Kolding;;;;;;
Professionsbachelor i finans, Kolding, Studiestart: sommerstart; 62 ;; 164 ; 59 ; Alle optaget, ledige pladser ;
E-designer, Kolding, Studiestart: sommerstart; 20 ;; 44 ; 22 ; 100 % kvote 2 ;
AP Graduate in E-design, Kolding, Study start: Summer start; 20 ;; 91 ; 28 ; 100 % kvote 2 ;
Finansøkonom, Kolding, Studiestart: sommerstart; 70 ;; 256 ; 66 ; Alle optaget, ledige pladser ;
AP Graduate in Financial Management, Kolding, Study start: Summer start; 32 ;; 125 ; 44 ; Alle optaget, ledige pladser ;
Financial controller, Kolding, Studiestart: sommerstart; 36 ;; 104 ; 43 ; Alle optaget, ledige pladser ;
Markedsføringsøkonom, Kolding, Studiestart: sommerstart; 55 ;; 146 ; 52 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Kolding, Study start: Summer start; 147 ;; 350 ; 188 ; Alle optaget, ledige pladser ;
Multimediedesigner, Kolding, Studiestart: sommerstart; 43 ;; 123 ; 47 ; Alle optaget, ledige pladser ;
AP Graduate in Multimedia Design and Communication, Kolding, Study start: Summer start; 40 ; 1 ; 175 ; 62 ; Alle optaget ;
Produktionsteknolog, Kolding, Studiestart: sommerstart; 16 ;; 38 ; 26 ; Alle optaget, ledige pladser ;
Erhvervsakademi Kolding i alt; 541 ; 1 ; 1.616 ; 637 ;;
Erhvervsakademi SydVest;;;;;;
Bygningskonstruktør, professionsbachelor i bygningskonstruktion, Esbjerg, Studiestart: sommer- og vinterstart; 55 ;; 81 ; 53 ; Alle optaget, ledige pladser ;
Datamatiker, Sønderborg, Studiestart: sommerstart; 18 ; 3 ; 48 ; 30 ; 5,0 ;3,5
AP Graduate in Computer Science, Sønderborg, Study start: Summer start; 15 ;; 62 ; 13 ; Alle optaget, ledige pladser ;
Datamatiker, Esbjerg, Studiestart: sommerstart; 30 ; 4 ; 75 ; 38 ; 5,4 ;Alle optaget, ledige pladser
AP Graduate in Computer Science, Esbjerg, Study start: Summer start; 30 ; 4 ; 122 ; 34 ; Alle optaget ;Alle optaget, ledige pladser
Byggekoordinator, Esbjerg, Studiestart: sommerstart; 8 ;; 21 ; 8 ; Alle optaget, ledige pladser ;
Byggekoordinator, Sønderborg, Studiestart: sommerstart; 14 ;; 21 ; 12 ; Alle optaget, ledige pladser ;
Designteknolog, Sønderborg, Studiestart: sommerstart; 4 ;; 20 ; 5 ; 100 % kvote 2 ;
AP Graduate in Design, Technology and Business, Sønderborg, Study start: Summer start; 10 ; 1 ; 46 ; 13 ; 100 % kvote 2 ;
Driftsteknolog - Offshore, Esbjerg, Studiestart: sommerstart; 17 ;; 37 ; 16 ; Alle optaget, ledige pladser ;
AP Graduate in Management Technology Offshore, Esbjerg, Study start: Summer start; 8 ;; 18 ; 7 ; Alle optaget, ledige pladser ;
Finansøkonom, Esbjerg, Studiestart: sommerstart; 88 ;; 156 ; 82 ; Alle optaget ;
Finansøkonom, Sønderborg, Studiestart: sommerstart; 45 ;; 76 ; 36 ; Alle optaget ;
Installatør, stærkstrøm, Esbjerg, Studiestart: sommerstart; 7 ;; 11 ; 7 ; Alle optaget, ledige pladser ;
Markedsføringsøkonom, Sønderborg, Studiestart: sommerstart; 18 ;; 53 ; 18 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Sønderborg, Study start: Summer start;;; 38 ; 6 ; Kontakt uddannelsesstedet ;
Markedsføringsøkonom, Esbjerg, Studiestart: sommerstart; 49 ;; 113 ; 48 ; Alle optaget, ledige pladser ;
AP Graduate in Marketing Management, Esbjerg, Study start: Summer start and winter start; 31 ;; 119 ; 46 ; Alle optaget, ledige pladser ;
Multimediedesigner, Esbjerg, Studiestart: sommerstart; 28 ; 3 ; 81 ; 33 ; 6,6 ;Alle optaget, ledige pladser
AP Graduate in Multimedia Design and Communication, Esbjerg, Study start: Summer start; 27 ; 4 ; 103 ; 33 ; Alle optaget ;Alle optaget, ledige pladser
Multimediedesigner, Sønderborg, Studiestart: sommerstart; 16 ;; 40 ; 17 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Sønderborg, Studiestart: sommerstart; 18 ;; 30 ; 19 ; Alle optaget, ledige pladser ;
Produktionsteknolog, Esbjerg, Studiestart: sommerstart; 26 ;; 42 ; 28 ; Alle optaget, ledige pladser ;
Serviceøkonom, Esbjerg, Studiestart: sommerstart; 40 ;; 76 ; 38 ; Alle optaget, ledige pladser ;
Erhvervsakademi SydVest i alt; 602 ; 19 ; 1.489 ; 640 ;;
Erhvervsakademi MidtVest;;;;;;
Datamatiker, Herning, Studiestart: sommerstart; 18 ; 2 ; 60 ; 31 ; 4,3 ;Alle optaget, ledige pladser
Byggekoordinator, Herning, Studiestart: sommerstart; 8 ;; 20 ; 8 ; Alle optaget, ledige pladser ;
Finansøkonom, Herning, Studiestart: sommerstart; 73 ;; 177 ; 80 ; Alle optaget, ledige pladser ;
Finansøkonom, Holstebro, Studiestart: sommerstart; 40 ;; 110 ; 44 ; Alle optaget, ledige pladser ;
Installatør, stærkstrøm, Herning, Studiestart: sommerstart; 5 ;; 9 ; 5 ; Alle optaget, ledige pladser ;
Installatør, VVS, Herning, Studiestart: sommerstart; 8 ;; 10 ; 9 ; Alle optaget, ledige pladser ;
Laborant, Holstebro, Studiestart: sommerstart; 21 ; 4 ; 59 ; 25 ; 5,2 ;Alle optaget, ledige pladser
Markedsføringsøkonom, Herning, Studiestart: sommerstart; 54 ;; 128 ; 58 ; Alle optaget, ledige pladser ;
Multimediedesigner, Herning, Studiestart: sommerstart; 40 ; 4 ; 104 ; 50 ; 4,7 ;Alle optaget, ledige pladser
Procesteknolog (ernærings-, fiskeri-, fødevare-, mejeri- og procesteknologi), Holstebro, Studiestart: sommerstart; 21 ;; 47 ; 24 ; Alle optaget, ledige pladser ;
