aau_name;url;UDD5;displaydocclass;instpostdistrikt;studietidtx;afbrud;afbrud_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;fagligmiljo_likert;fagligtmotivation_likert;kvalitet_likert;medstuderende_likert;socialtmiljo_likert;socialtmotivation_likert;udbytte_undervisning_likert;undervisere_engagerede_likert;undervisere_faglighed_likert;undervisere_feedback_likert;undervisere_formidling_likert;undervisere_kontakt_likert
Informationsteknologi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/innovation-og-digitalisering;71370;Bacheloruddannelse;Aalborg;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Interaktionsdesign;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/interaktionsdesign;60170;Bacheloruddannelse;Aalborg;-101;5;41;Projektarbejde;Gruppearbejde;Forelæsninger;Selvstudie;Faglig vejledning fra din underviser;4,34;4,16;4,33;3,77;4,06;4,06;3,97;4,31;4,38;4;3,91;4,35
International Virksomhedskommunikation i Engelsk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-engelsk;59500,59900,59910,59930,59920,59330,59380,60460,59720,59730,59740,66180;Bacheloruddannelse;Aalborg;2 år og 10 måneder;22;679;Selvstudie;Projektarbejde;Forelæsninger;Klasseundervisning;Gruppearbejde;3,95;3,65;3,63;3,36;3,77;3,94;3,89;4,2;4,15;3,61;3,65;4,07
International Virksomhedskommunikation i Spansk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-spansk;59500,59900,59910,59930,59350,59370,60450;Bacheloruddannelse;Aalborg;2 år og 10 måneder;-101;-101;Klasseundervisning;Selvstudie;Projektarbejde;Gruppearbejde;Forelæsninger;3,67;3,6;3,27;3,27;3,73;3,73;3,6;4,2;4,33;3,93;3,93;4,07
International Virksomhedskommunikation i Tysk;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/humanistiskebacheloruddannelser/erhvervssprog/international-virksomhedskommunikation-i-tysk;59500,59900,59910,59930,59360,59320,60480;Bacheloruddannelse;Aalborg;2 år og 10 måneder;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Internetteknologier og computersystemer;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/internetteknologier-og-computersystemer;79090;Bacheloruddannelse;Aalborg;2 år og 8 måneder;7;27;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
IT, Communication and New Media;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/tekniskvidenskabeligebacheloruddannelser/civilingenioeruddannelser/it-kommunikations-og-medieteknologi;79420;Bacheloruddannelse;København SV;2 år og 11 måneder;15;134;Projektarbejde;Gruppearbejde;Selvstudie;Klasseundervisning;Forelæsninger;3,87;3,27;3,93;3,22;3,63;4,04;3,73;4,2;4,12;3,76;3,61;4,02
Jura;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/jura;70810;Bacheloruddannelse;Aalborg;2 år og 10 måneder;10;378;Selvstudie;Forelæsninger;Klasseundervisning;Gruppearbejde;Projektarbejde;3,8;3,56;4,39;3,86;3,86;4,22;4,09;4,35;4,51;3,45;3,88;3,78
Kemi;www.ug.dk/uddannelser/universitetsuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kemi;81360;Bacheloruddannelse;Aalborg;2 år og 4 måneder;32;25;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
Kemi og bioteknologi, diplomingeniør, Aalborg;www.ug.dk/uddannelser/professionsbacheloruddannelser/tekniskeogteknologiskeudd/diplomingenioer-kemi;53390,52790,52750,52700;Professionsbacheloruddannelse;Aalborg;2 år og 4 måneder;25;80;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101;-101
